company_name,manufacturing_cost,marketing_cost,shipping_cost,profit
Company_0110,74300,36069,85532,56415
Company_0111,517281,220977,54104,299445
Company_0112,657086,22910,82231,80593
Company_0113,583556,91264,73388,181854
Company_0114,398951,33275,21014,138834
Company_0115,324329,82274,97578,159730
Company_0116,769064,201076,45390,312539
Company_0117,792139,204053,28711,143825
Company_0118,482315,195625,96658,147033
Company_0119,976075,58447,62993,227860
Company_0120,566588,85703,12421,226886
Company_0121,286584,289404,22727,109940
Company_0122,612332,122581,117418,139110
Company_0123,887646,275956,9358,454210
Company_0124,426896,199728,70108,71525
Company_0125,98984,126421,99018,129557
Company_0126,352918,11605,129457,149698
Company_0127,314712,82303,36910,151240
Company_0128,170151,168211,131888,88588
Company_0129,505808,197210,60754,79657
Company_0130,183767,271949,114847,183356
Company_0131,698663,154990,43467,314210
Company_0132,753550,168518,38893,309566
Company_0133,186330,134040,81329,57384
Company_0134,530754,154118,36007,235027
Company_0135,351648,241966,59253,215887
Company_0136,738519,276468,17323,307176
Company_0137,63986,281255,116335,152243
Company_0138,636146,26389,117356,275907
Company_0139,179312,132177,115944,121425
Company_0140,62666,169818,21456,32144
Company_0141,350804,132883,36367,128083
Company_0142,184633,228958,59624,58344
Company_0143,338998,248213,146178,163005
Company_0144,900937,122221,73008,243493
Company_0145,678776,285378,130926,131193
Company_0146,757611,270669,120395,235071
Company_0147,334806,244936,121492,93474
Company_0148,844824,10846,77240,319494
Company_0149,80535,20954,69315,65641
Company_0150,425713,254761,15756,84727
Company_0151,888688,147541,41378,416532
Company_0152,401279,74323,140327,158153
Company_0153,963910,101922,130703,227185
Company_0154,871654,199139,61549,139344
Company_0155,651661,190448,78794,230398
Company_0156,697972,186659,50113,316274
Company_0157,539570,245659,79069,269769
Company_0158,506551,114537,141321,87728
Company_0159,323109,251983,130541,85995
Company_0160,74538,52533,14686,31308
Company_0161,944498,273972,58363,240794
Company_0162,251664,11917,102543,62136
Company_0163,541234,292762,136733,178906
Company_0164,949684,42254,100673,372629
Company_0165,189182,271987,47828,192791
Company_0166,522525,57362,53604,140337
Company_0167,208338,292272,15526,191916
Company_0168,234064,252353,73910,110075
Company_0169,264020,200455,30592,120267
Company_0170,673094,75545,33982,131330
Company_0171,974414,92180,5207,313118
Company_0172,947421,97958,93733,448461
Company_0173,665270,15287,129982,227800
Company_0174,695914,267665,73619,215057
Company_0175,169176,18512,51479,70397
Company_0176,967710,142414,146826,172046
Company_0177,268126,118872,86437,173560
Company_0178,268969,257754,103540,158148
Company_0179,172409,103070,77982,82994
Company_0180,597707,89767,107747,219289
Company_0181,303618,107829,53231,133564
Company_0182,819598,52078,34301,110105
Company_0183,100015,93524,23752,66227
Company_0184,822838,237645,103452,200871
Company_0185,172096,22219,149467,108011
Company_0186,681347,272379,126237,374488
Company_0187,235340,137309,61273,148048
Company_0188,160687,149639,96878,108214
Company_0189,924371,206513,9895,292097
Company_0190,461357,258320,124968,120668
Company_0191,785716,146487,120700,350199
Company_0192,155878,177231,81559,75230
Company_0193,777270,53925,15699,210883
Company_0194,248286,147023,14715,75970
Company_0195,823290,97388,24169,132418
Company_0196,824684,18007,123413,279075
Company_0197,214899,267802,124264,70589
Company_0198,374767,68596,10782,147412
Company_0199,911882,265266,129481,255153
Company_0200,929858,25524,40585,99636
Company_0201,429989,165002,35682,159773
Company_0202,465515,135501,134992,83945
Company_0203,93585,292755,89416,86992
Company_0204,421369,158056,132810,222283
Company_0205,114044,24060,43067,21524
Company_0206,492296,224057,23073,260131
Company_0207,159556,200279,41035,40546
Company_0208,576981,216118,95373,154636
Company_0209,931691,170359,88362,383635
Company_0210,817595,49711,95517,187635
Company_0211,250235,153026,70450,61851
Company_0212,75939,228134,15382,66469
Company_0213,202906,112974,140509,82660
Company_0214,592335,159646,66929,288922
Company_0215,338249,160168,103864,116845
Company_0216,125766,77728,148401,118475
Company_0217,458923,175088,30169,244127
Company_0218,465192,21246,92468,133232
Company_0219,618550,102263,39594,283618
Company_0220,437261,21302,50033,108430
Company_0221,860208,51157,68133,381243
Company_0222,735440,64917,78861,111473
Company_0223,702664,233810,36750,297909
Company_0224,504589,106646,45461,162955
Company_0225,187848,296663,83222,122797
Company_0226,667075,277552,117020,307679
Company_0227,177948,69379,29226,86051
Company_0228,629304,35053,11721,68492
Company_0229,452690,141994,25609,93097
Company_0230,549046,108723,135513,249022
Company_0231,501269,61356,109211,201494
Company_0232,71959,282933,141728,193589
Company_0233,710890,42154,129865,289869
Company_0234,800216,223942,79520,425171
Company_0235,955533,274480,69309,403780
Company_0236,840180,291173,34984,220922
Company_0237,278576,42265,123947,58538
Company_0238,587833,253322,10901,285052
Company_0239,964091,184944,36055,347521
Company_0240,215838,56197,119099,44767
Company_0241,385674,164782,16138,117860
Company_0242,929989,170558,28429,436958
Company_0243,111087,81907,55200,62078
Company_0244,643128,212967,106268,221169
Company_0245,168451,242604,22347,102850
Company_0246,497600,292247,36822,134469
Company_0247,887437,74772,45108,212153
Company_0248,489792,136108,133955,160286
Company_0249,89353,24382,12967,14660
Company_0250,243075,94291,115719,149640
Company_0251,264283,144828,16871,95825
Company_0252,364877,292753,33179,239471
Company_0253,115318,157550,60099,118238
Company_0254,815313,242050,40262,179569
Company_0255,532690,140330,83213,224757
Company_0256,466880,81315,122407,162074
Company_0257,641460,24153,91269,275540
Company_0258,790976,86325,65545,155307
Company_0259,831239,250773,44922,341848
Company_0260,143264,65318,47913,72415
Company_0261,820746,86077,102033,190260
Company_0262,863168,143515,109792,157400
Company_0263,275281,216988,124863,182357
Company_0264,687147,135885,49936,280728
Company_0265,948613,27368,33141,196464
Company_0266,444070,156400,145146,218800
Company_0267,402228,198014,142478,162313
Company_0268,481839,101751,102359,215361
Company_0269,319536,240203,128279,109920
Company_0270,367824,299450,46568,262026
Company_0271,307426,180987,102539,110048
Company_0272,227789,221951,51851,105502
Company_0273,563153,205716,59823,97311
Company_0274,792452,70279,28312,118912
Company_0275,887291,10126,103723,255048
Company_0276,175657,37632,17411,41590
Company_0277,285167,206382,62009,194101
Company_0278,731669,119945,37371,92817
Company_0279,530671,260869,62022,182430
Company_0280,769094,227138,76229,215783
Company_0281,120467,185399,104071,43370
Company_0282,233734,144869,101774,65960
Company_0283,672794,188954,31715,200218
Company_0284,159751,154790,32605,86043
Company_0285,431050,44560,104853,128448
Company_0286,980192,294260,36174,339820
Company_0287,861774,142717,146028,320464
Company_0288,742517,188595,81373,104262
Company_0289,511079,134085,74252,172104
Company_0290,418452,291400,75017,305353
Company_0291,156081,110158,68037,85477
Company_0292,663333,194245,94818,288826
Company_0293,608986,178502,11548,154660
Company_0294,160078,152766,121981,144447
Company_0295,917055,67545,29022,336397
Company_0296,72671,23224,111297,53121
Company_0297,468400,50738,141614,259546
Company_0298,405528,190760,65428,91095
Company_0299,660490,249690,64353,102408
Company_0300,101663,149649,118132,122303
Company_0301,65708,18070,21052,35867
Company_0302,928338,136161,105689,159218
Company_0303,361955,18666,136743,92957
Company_0304,183883,147855,5163,35464
Company_0305,368394,51914,46424,87742
Company_0306,162547,211579,146706,172886
Company_0307,960681,137738,140870,316499
Company_0308,609042,256965,27420,182642
Company_0309,801102,292100,125575,257797
Company_0310,812002,228967,34300,107963
Company_0311,192483,104270,94881,74387
Company_0312,708271,276901,15749,294208
Company_0313,264835,29097,109131,158104
Company_0314,451896,151467,133563,260958
Company_0315,134896,157313,42487,35838
Company_0316,527095,168768,26223,266860
Company_0317,121295,256726,77930,152725
Company_0318,793974,56163,33380,295194
Company_0319,937121,29816,31035,236917
Company_0320,323255,243619,35620,132188
Company_0321,349648,165989,122360,121777
Company_0322,707162,106731,58352,104415
Company_0323,58155,162638,8191,38577
Company_0324,516872,216524,95536,144218
Company_0325,875816,72823,109576,259498
Company_0326,424705,161878,8631,192988
Company_0327,621542,216592,142244,237391
Company_0328,858350,11759,47080,107635
Company_0329,660269,267164,95353,396162
Company_0330,604594,143554,33671,299293
Company_0331,197718,296586,127811,208754
Company_0332,358987,103501,132734,236540
Company_0333,695263,274223,56399,270161
Company_0334,408745,69676,12099,190729
Company_0335,157512,227516,61492,54779
Company_0336,197443,183532,101722,101223
Company_0337,520587,100397,35111,109970
Company_0338,423616,82847,68936,91344
Company_0339,707409,103607,65920,124736
Company_0340,736976,230178,68530,296955
Company_0341,415871,159521,12788,196685
Company_0342,425037,74077,33082,145550
Company_0343,857364,189374,128287,169307
Company_0344,167796,267009,94570,181754
Company_0345,341999,147717,106015,173230
Company_0346,242506,48000,88588,82054
Company_0347,748376,36737,93340,265502
Company_0348,319544,283629,99439,125044
Company_0349,430002,196240,146214,157239
Company_0350,748002,62487,120053,349181
Company_0351,589439,284486,53355,173541
Company_0352,640978,88623,145938,211001
Company_0353,578787,193675,130426,331398
Company_0354,580583,223046,69027,272544
Company_0355,957317,115947,97601,138935
Company_0356,438215,298543,34956,111274
Company_0357,371184,138177,109797,63372
Company_0358,848615,226454,129917,348574
Company_0359,472515,119575,131303,169492
Company_0360,718234,217606,141511,151133
Company_0361,428480,86218,47533,217797
Company_0362,82711,73230,83815,62072
Company_0363,841971,255756,44279,197073
Company_0364,551157,172552,114787,209775
Company_0365,234423,49986,66063,106503
Company_0366,566349,165232,132896,106219
Company_0367,753714,111358,102661,176525
Company_0368,962495,83506,143051,406762
Company_0369,707917,44911,128257,209609
Company_0370,874792,216111,91205,312044
Company_0371,787378,94458,11910,205422
Company_0372,183272,22175,51857,29119
Company_0373,817836,131300,39964,148092
Company_0374,752335,96925,142050,231631
Company_0375,857789,254446,22153,184628
Company_0376,693409,76358,64765,95965
Company_0377,127505,57057,113212,105142
Company_0378,52869,278294,44071,147976
Company_0379,831474,276569,117990,414329
Company_0380,504351,264726,74519,300434
Company_0381,362252,288176,14503,114762
Company_0382,686584,12198,100457,310255
Company_0383,668467,194466,50838,145360
Company_0384,140272,177292,130200,172581
Company_0385,88467,154931,94489,134629
Company_0386,859760,172491,31806,333599
Company_0387,927844,270910,75119,502343
Company_0388,530047,33236,43714,164412
Company_0389,709347,97955,60419,154335
Company_0390,108871,226586,110432,103044
Company_0391,989903,113145,97949,333959
Company_0392,178391,156430,138533,57713
Company_0393,489430,240785,81971,232856
Company_0394,660704,104914,98471,340756
Company_0395,906703,217990,69946,187596
Company_0396,880496,24596,103989,340845
Company_0397,306687,142351,89080,200378
Company_0398,775451,204269,82794,407060
Company_0399,157450,148155,35841,132494
Company_0400,221890,130674,129447,123605
Company_0401,488741,267529,125029,346520
Company_0402,331974,250469,81272,217162
Company_0403,984933,266713,42643,192203
Company_0404,450109,29063,48950,128370
Company_0405,166381,77642,105500,110274
Company_0406,523125,100093,130588,131314
Company_0407,621621,227215,20997,254151
Company_0408,184508,192992,84751,138666
Company_0409,779650,169601,103605,156675
Company_0410,912645,45954,60533,274682
Company_0411,449111,37856,87566,190450
Company_0412,200810,12573,113255,81551
Company_0413,342890,45367,63005,46764
Company_0414,623665,247804,48541,94495
Company_0415,890477,33752,28387,197295
Company_0416,410032,158757,98980,252322
Company_0417,419599,126739,90457,107365
Company_0418,710960,248009,149129,321690
Company_0419,800020,266028,69028,189129
Company_0420,929611,217980,124246,249917
Company_0421,221836,266609,60731,194634
Company_0422,779903,198456,49638,327579
Company_0423,95714,41653,25567,20956
Company_0424,677234,167729,62804,207525
Company_0425,946048,238504,113821,141199
Company_0426,680271,131829,8754,200507
Company_0427,516960,138377,32044,205341
Company_0428,761851,11622,72260,114639
Company_0429,174123,58756,71912,56893
Company_0430,986093,50809,13706,230451
Company_0431,355628,26725,13894,148933
Company_0432,132989,202468,88986,168918
Company_0433,348356,61226,86942,56342
Company_0434,879957,91182,34725,330227
Company_0435,228274,39402,141998,86653
Company_0436,737995,14263,109555,187648
Company_0437,375352,237595,14496,204721
Company_0438,870260,187900,61447,420443
Company_0439,461927,57924,106604,241359
Company_0440,839852,234137,93199,318801
Company_0441,933184,170445,46321,238196
Company_0442,181373,177469,60147,140891
Company_0443,488452,111371,96396,122047
Company_0444,165294,48709,43787,69402
Company_0445,509451,202192,26727,153266
Company_0446,698307,160322,100081,284726
Company_0447,115726,31172,127721,47267
Company_0448,191564,21555,73056,45066
Company_0449,427812,63276,139153,236637
Company_0450,318246,67492,85102,61463
Company_0451,755696,194074,81865,259752
Company_0452,168015,266010,72695,84245
Company_0453,790674,232320,122235,127898
Company_0454,304079,21046,113777,48632
Company_0455,600929,238071,24033,131669
Company_0456,739944,194374,146877,389263
Company_0457,738105,276997,31832,193414
Company_0458,563758,130900,120725,314034
Company_0459,990597,69129,24873,297707
Company_0460,415890,247091,45372,163618
Company_0461,495101,215550,94464,220622
Company_0462,86631,254883,122322,118282
Company_0463,816577,124130,105082,342634
Company_0464,122991,156922,10110,53581
Company_0465,54014,131789,17087,41778
Company_0466,323237,165130,87617,212093
Company_0467,68070,186492,105483,138234
Company_0468,872209,48890,14596,344118
Company_0469,106958,76017,112539,66737
Company_0470,132074,188376,23313,114854
Company_0471,585017,173993,118175,213068
Company_0472,805073,142596,119914,266107
Company_0473,226089,110424,28705,58947
Company_0474,247392,287192,78445,170016
Company_0475,208823,178976,108892,77404
Company_0476,680152,44008,7023,145848
Company_0477,443002,215738,124654,279287
Company_0478,783429,93559,85073,155971
Company_0479,548863,65337,97197,86326
Company_0480,417654,285494,69429,93251
Company_0481,629036,34354,109195,295309
Company_0482,580089,55186,38848,169930
Company_0483,200262,38145,32766,60423
Company_0484,492905,96123,73099,227284
Company_0485,285362,216258,74122,201940
Company_0486,494209,226541,53868,154658
Company_0487,603880,30581,124119,233707
Company_0488,847079,98929,100286,346675
Company_0489,714076,295195,11643,302594
Company_0490,269963,61474,41727,54287
Company_0491,530761,101748,147077,282806
Company_0492,298710,135995,114079,143632
Company_0493,270984,255690,70697,110359
Company_0494,947059,279104,21029,283821
Company_0495,906748,190553,114458,134834
Company_0496,832355,46408,115384,137550
Company_0497,314512,269568,73926,216920
Company_0498,651863,161563,142069,95552
Company_0499,318799,142413,60506,117370
Company_0500,287549,185695,83229,142876
Company_0501,644319,100327,47092,92150
Company_0502,534299,212503,67539,319159
Company_0503,662210,153326,18428,139970
Company_0504,498982,192932,146330,160322
Company_0505,174046,21344,62775,49356
Company_0506,456619,77957,10469,92180
Company_0507,82097,115423,33854,23239
Company_0508,716326,156968,142328,323783
Company_0509,699150,196833,81256,381175
Company_0510,280229,203624,104134,98363
Company_0511,168834,261147,137723,169694
Company_0512,143848,87454,89730,103554
Company_0513,102921,267594,32386,142839
Company_0514,755086,47641,38787,190845
Company_0515,700429,39711,26621,146358
Company_0516,755660,153254,82984,195987
Company_0517,334821,97833,39051,148014
Company_0518,105609,291685,54811,155991
Company_0519,277897,54813,35447,56874
Company_0520,81024,178270,133046,82894
Company_0521,120313,149892,89045,133131
Company_0522,439957,296214,121859,293453
Company_0523,234078,214615,8471,180788
Company_0524,407429,51786,125312,190716
Company_0525,982842,236006,144401,297131
Company_0526,511243,240876,51850,222853
Company_0527,163632,297654,59220,155269
Company_0528,987012,291570,98808,170158
Company_0529,301451,47265,142469,129353
Company_0530,53051,259321,58072,115873
Company_0531,754107,76150,88820,138042
Company_0532,426836,97312,28284,184616
Company_0533,661523,99613,88369,233725
Company_0534,771772,131826,30122,360104
Company_0535,239407,45435,135349,47366
Company_0536,499395,220017,75553,142773
Company_0537,999597,144055,99788,348742
Company_0538,512894,161734,67812,140297
Company_0539,261810,295654,12999,179312
Company_0540,777975,219259,27436,335785
Company_0541,123523,182070,47963,46229
Company_0542,810463,104071,138168,267550
Company_0543,144476,278784,113899,135722
Company_0544,283841,156389,31201,99370
Company_0545,853451,125608,10105,375761
Company_0546,920045,279708,122666,460534
Company_0547,272866,168417,99848,167297
Company_0548,136672,123824,7839,84337
Company_0549,648135,264444,73920,235294
Company_0550,394894,89273,48619,200486
Company_0551,784994,221837,47821,325232
Company_0552,78251,120017,130736,104851
Company_0553,677769,133618,149565,344508
Company_0554,424710,135341,22069,106074
Company_0555,600233,216604,12531,283744
Company_0556,927284,37788,143808,175837
Company_0557,82217,236577,143782,94181
Company_0558,58308,49974,72155,36210
Company_0559,318093,26371,67424,162101
Company_0560,233062,192256,50603,169885
Company_0561,444366,83972,137503,206644
Company_0562,794840,203259,97573,348551
Company_0563,150235,285128,145629,156067
Company_0564,124740,95431,108302,126175
Company_0565,428496,115373,136234,169262
Company_0566,903049,191144,24675,239611
Company_0567,800201,296718,78997,175106
Company_0568,853328,260195,145905,422993
Company_0569,967230,153748,12896,363217
Company_0570,227247,42733,54733,69912
Company_0571,713165,226752,46800,106129
Company_0572,579525,12050,101044,243593
Company_0573,70056,119996,10347,20726
Company_0574,226615,43933,138715,127325
Company_0575,237628,34951,45785,124504
Company_0576,688836,42413,23681,174614
Company_0577,423632,175873,108864,120771
Company_0578,184415,196691,52299,134988
Company_0579,456716,198847,22073,233878
Company_0580,496438,231888,107304,220547
Company_0581,603663,271044,35682,355152
Company_0582,715022,231165,129302,124219
Company_0583,591252,253662,120359,242706
Company_0584,687717,176472,143999,318119
Company_0585,302764,221760,71707,213922
Company_0586,764998,132744,70428,148881
Company_0587,516882,215763,55601,268004
Company_0588,790427,53001,138611,261037
Company_0589,562153,77364,116487,165539
Company_0590,117215,248506,33228,55659
Company_0591,905474,238731,127788,457394
Company_0592,194356,141878,102239,64535
Company_0593,253861,197710,31928,93284
Company_0594,405612,138301,23322,106080
Company_0595,504605,170829,92896,277693
Company_0596,59435,44636,67292,51719
Company_0597,497556,221169,34055,255195
Company_0598,749438,189352,47891,172807
Company_0599,915264,296406,86912,373293
Company_0600,625581,203283,142660,263791
Company_0601,128781,255596,95536,167897
Company_0602,241475,71665,11304,120636
Company_0603,210196,256584,12345,49659
Company_0604,276507,126953,96006,150941
Company_0605,356063,168448,134350,76131
Company_0606,814121,196626,24446,273971
Company_0607,826665,155271,7336,184291
Company_0608,740607,128533,67032,179775
Company_0609,171172,83781,102852,73667
Company_0610,406902,76262,143593,179495
Company_0611,534963,86898,23474,129205
Company_0612,505968,159369,60718,232199
Company_0613,368717,40448,49629,101557
Company_0614,109101,298316,50232,55149
Company_0615,545972,17657,91544,219566
Company_0616,338790,266689,55669,122793
Company_0617,940617,169903,74184,272280
Company_0618,597337,17906,18140,193582
Company_0619,784965,64028,131468,195834
Company_0620,410260,279431,88457,91024
Company_0621,933811,200792,19357,244842
Company_0622,642673,112979,116672,334391
Company_0623,700419,44701,73673,239513
Company_0624,483374,93300,126673,212019
Company_0625,770777,251249,70633,316526
Company_0626,597577,158746,101111,136930
Company_0627,422370,93560,83258,135116
Company_0628,937225,252615,148996,435499
Company_0629,321967,53642,74286,58671
Company_0630,241232,289746,98269,115376
Company_0631,354119,98801,79071,97298
Company_0632,59540,298075,35651,90296
Company_0633,590652,104377,75202,303556
Company_0634,447827,91121,53777,71275
Company_0635,601951,35559,72263,181425
Company_0636,101991,43742,105158,38589
Company_0637,238751,162826,15800,163279
Company_0638,416326,145044,42823,80956
Company_0639,736337,122217,68878,205036
Company_0640,668992,51873,23708,239280
Company_0641,99115,144092,148891,122086
Company_0642,403151,96988,68870,129061
Company_0643,793583,55648,14283,176119
Company_0644,241962,135991,83707,101234
Company_0645,771747,12396,10774,142515
Company_0646,199143,94082,147055,71149
Company_0647,764635,138322,101468,245995
Company_0648,586226,142663,101334,149905
Company_0649,403824,21303,23133,83483
Company_0650,54000,171633,5781,68736
Company_0651,775948,259690,119586,451185
Company_0652,937474,269820,32624,348529
Company_0653,405754,109616,11823,64894
Company_0654,301492,96231,23489,51672
Company_0655,940123,279458,34118,483209
Company_0656,549522,29623,105417,129510
Company_0657,541072,208747,86816,106771
Company_0658,88304,115228,18565,62123
Company_0659,554999,192828,96179,242309
Company_0660,381593,167364,28648,170134
Company_0661,657274,79274,46971,141206
Company_0662,201836,143541,23658,38576
Company_0663,158940,63947,26253,97041
Company_0664,874926,163606,93664,198437
Company_0665,315517,204692,108850,190484
Company_0666,717521,58874,142924,286817
Company_0667,671820,59708,138623,246254
Company_0668,929090,84553,76947,211435
Company_0669,435777,78344,66001,105192
Company_0670,674674,195374,127775,278692
Company_0671,601638,57638,38243,250987
Company_0672,667296,88249,80939,321226
Company_0673,930729,12719,62828,132598
Company_0674,599639,163962,143311,132815
Company_0675,662956,52534,11710,278823
Company_0676,688873,102241,42991,267714
Company_0677,982809,136209,143043,460523
Company_0678,387497,199004,90445,108846
Company_0679,257869,102124,85257,123011
Company_0680,115953,101659,42711,80789
Company_0681,893890,174134,11530,328220
Company_0682,550328,85713,16116,145069
Company_0683,856790,228335,70794,120930
Company_0684,53267,85418,136354,75602
Company_0685,132745,138232,137970,71946
Company_0686,926020,173038,9135,260509
Company_0687,874945,178383,142701,463191
Company_0688,207164,268722,114472,129707
Company_0689,585626,142079,130147,301912
Company_0690,181484,212053,94087,76343
Company_0691,581831,86242,38380,213163
Company_0692,942323,188589,134951,497613
Company_0693,110692,39257,22071,22460
Company_0694,270156,154353,25074,46080
Company_0695,273992,273579,72843,142741
Company_0696,566771,239947,44901,108826
Company_0697,880857,241758,16205,369564
Company_0698,613044,101357,129661,315986
Company_0699,593176,167732,10906,177676
Company_0700,741095,213667,138663,194207
Company_0701,883727,93807,130576,255220
Company_0702,164352,148563,67987,120759
Company_0703,919474,268778,85685,130854
Company_0704,135999,191264,115454,122560
Company_0705,67955,83609,110487,74419
Company_0706,874273,281221,59400,353906
Company_0707,120640,258512,36852,71805
Company_0708,246582,263973,57756,178572
Company_0709,794086,293097,120357,153861
Company_0710,450573,164893,124052,118161
Company_0711,475695,125374,61481,240665
Company_0712,111476,34860,6283,49084
Company_0713,356955,162267,38691,58091
Company_0714,217280,87475,137197,77126
Company_0715,725510,162499,31170,151041
Company_0716,645468,299227,13438,173653
Company_0717,748646,228118,25095,174591
Company_0718,687144,133786,144076,114602
Company_0719,904882,17813,14752,222814
Company_0720,464568,41598,60426,181207
Company_0721,236141,267951,31819,151137
Company_0722,948320,103106,97051,346680
Company_0723,684736,299226,37994,127074
Company_0724,588685,237286,102756,357975
Company_0725,228031,21745,145659,139014
Company_0726,968232,298173,100665,466891
Company_0727,169180,154097,136717,159569
Company_0728,116234,242732,86835,169321
Company_0729,614242,155360,127232,236115
Company_0730,228352,99186,48732,60235
Company_0731,129459,223030,51305,115095
Company_0732,459995,209950,14346,220933
Company_0733,245004,51846,5587,97195
Company_0734,516152,158554,17763,177573
Company_0735,991970,295555,74615,164189
Company_0736,775256,294186,125987,252634
Company_0737,109163,62930,96353,100997
Company_0738,525853,258656,100648,243714
Company_0739,101934,254459,30556,101187
Company_0740,770255,234695,64042,193119
Company_0741,475523,63268,23099,118297
Company_0742,890530,222943,114089,452484
Company_0743,504137,268916,149302,276650
Company_0744,55486,194403,38866,97084
Company_0745,189407,58901,110400,84764
Company_0746,923332,204488,89246,351822
Company_0747,700308,173268,81975,166758
Company_0748,677083,277770,86557,324543
Company_0749,270184,148496,142488,128103
Company_0750,716490,285001,77516,251153
Company_0751,399652,251531,37602,203051
Company_0752,811315,256693,134295,457938
Company_0753,692612,189362,92969,116215
Company_0754,372710,36431,137161,189797
Company_0755,247775,248360,146559,120643
Company_0756,339336,36385,5155,88811
Company_0757,837494,290783,128950,133987
Company_0758,658364,95530,72494,157273
Company_0759,139780,240983,81229,115862
Company_0760,202617,293707,109648,70809
Company_0761,595977,215390,43547,211444
Company_0762,847606,253373,33795,429095
Company_0763,400605,171779,26447,78816
Company_0764,962606,180182,92960,406971
Company_0765,939465,202860,68278,269845
Company_0766,583636,92879,60077,218437
Company_0767,991218,248260,117782,241688
Company_0768,88102,156323,107932,52095
Company_0769,124460,132413,145600,59621
Company_0770,414778,272670,114869,97198
Company_0771,139930,57837,144251,53250
Company_0772,581089,270550,53781,270961
Company_0773,677438,283680,58798,371766
Company_0774,777627,38541,103696,316651
